psi,s2,q2,s3,q3,rho,tE,cad,bin_box,planet_box,contour_threshold,alpha_density,n_pot
60.0,0.2,0.925,0.5133333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.5133333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.5700000000000001,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.5700000000000001,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,0.5700000000000001,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.5700000000000001,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.6266666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.6266666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.6266666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.6266666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.6833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.6833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.6833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.6833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.74,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.74,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.74,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.74,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.7966666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.7966666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.7966666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.7966666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.8533333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.8533333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.8533333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.8533333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.91,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.91,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.91,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.91,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.2,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,1.2,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,1.2,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,1.2,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.3833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,1.3833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,1.3833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,1.3833333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.5666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,1.5666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,1.5666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,1.5666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.75,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,1.75,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,1.75,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,1.75,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,1.9333333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,1.9333333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,1.9333333333333333,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
